Movie Name,Time,Rating,Top 7 Cast,Western,Documentary,Music,TV Movie,War,History,Horror,Romance,Drama,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Whisper of the Witch (2024),90,61,Arthur BeschastnyПол; Maryana SpivakСофия; Sofya ShidlovskayaЯна; Igor GrabuzovНик; Sergey SafronovАртур; Valeria KotДжули; Ilya VinogorskyРон,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SpongeBob Squarepants: Kreepaway Kamp (2024),45,69,Tom KennySpongeBob / Cabin / Clam / Snail / Tall Tail / Vampire Monster / Sea Urchins / Jellyfish / Anchovies (voice); Bill FagerbakkePatrick / Anchovy #2 / Roh / Sea Urchins / Anchovies (voice); Rodger BumpassSquidward / Regigilled / The Creeper / Sea Urchins (voice); Clancy BrownMr. Krabs / Anchovies (voice); Carolyn LawrenceSandy / Rea / Teen Girls / Sea Urchins / Anchovies (voice); Mr. LawrencePlankton / Larry the Lobster / Anchovy #1 / Sea Bunnies / Sea Urchins (voice); Lori AlanPearl / Teen Girls (voice),0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
Joker: Folie à Deux (2024),138,55,Joaquin PhoenixArthur Fleck; Lady GagaLee Quinzel; Brendan GleesonJackie Sullivan; Catherine KeenerMaryanne Stewart; Zazie BeetzSophie Dumond; Steve CooganPaddy Meyers; Harry LawteyHarvey Dent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Canary Black (2024),103,63,Kate BeckinsaleAvery Graves; Rupert FriendDavid Brooks; Saffron BurrowsElizabeth Mills; Ray StevensonJarvis Hedlund; Goran KostićBreznov; Ben MilesDCIA Nathan Evans; Jaz HutchinsAgent Maxfield,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
The Crow (2024),111,59,Bill SkarsgårdEric; FKA twigsShelly; Danny HustonVincent Roeg; Josette SimonSophia; Laura BirnMarion; Sami BouajilaKronos; Karel DobrýRoman,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
The Lord of the Rings: The War of the Rohirrim (2024),134,69,Brian CoxHelm Hammerhand (voice); Gaia WiseHéra (voice); Luke PasqualinoWulf (voice); Laurence Ubong WilliamsFréaláf (voice); Lorraine AshbourneOlwyn (voice); Miranda OttoÉowyn (voice); Shaun DooleyFreca (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
The Platform 2 (2024),101,56,Milena SmitPerempuán; Hovik KeuchkerianZamiatin; Natalia TenaSahabat; Óscar JaenadaDagin Babi; Ivan MassaguéGoreng; Zorion EguileorTrimagasi; Bastien UghettoRobespierre,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
A Nonsense Christmas with Sabrina Carpenter (2024),50,66,Sabrina CarpenterSelf; Cara DelevingneSelf; Chappell RoanSelf; Jillian BellSelf; Kali UchisSelf; Kyle MooneySelf; Megan StalterSelf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushpa 2 - The Rule (2024),198,71,Allu ArjunPushpa Raj; Rashmika MandannaSrivalli; Fahadh FaasilBhanwar Singh Shekhawat; Jagadeesh BandariKesava; Rao RameshBhumireddy Siddappa Naidu; Sunil VarmaMangalam Srinu; Anasuya BharadwajDakshayani,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
The Flesh (1991),90,54,Sergio CastellittoPaolo; Francesca DelleraFrancesca; Philippe LéotardNicola; Farid ChopelAldo; Petra ReinhardtGiovanna; Gudrun GundlachNursing woman on the beach; Nicoletta BorisOwner of the Bar,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gladiator (2000),155,82,Russell CroweMaximus; Joaquin PhoenixCommodus; Connie NielsenLucilla; Oliver ReedProximo; Richard HarrisMarcus Aurelius; Derek JacobiGracchus; Djimon HounsouJuba,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Kung Fu Panda 4 (2024),94,71,Jack BlackPo (voice); AwkwafinaZhen (voice); Viola DavisThe Chameleon (voice); Dustin HoffmanShifu (voice); Bryan CranstonLi (voice); James HongMr. Ping (voice); Ian McShaneTai Lung (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
Your Fault (2024),120,71,Nicole WallaceNoah Morgan; Gabriel GuevaraNick Leister; Iván SánchezWilliam Leister; Marta HazasRafaela; Eva RuizJenna; Víctor VaronaLion; Gabriela AndradaSofía,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Aunts (2024),87,65,Ximena SariñanaCamila NuñezDiego KleinRoberto Quijano,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IF (2024),104,72,Cailey FlemingBea; Ryan ReynoldsCal; John KrasinskiDad / Marshmallow (voice); Fiona ShawGrandmother; Steve CarellBlue (voice); Phoebe Waller-BridgeBlossom (voice); Louis Gossett Jr.Lewis (voice),0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Bagman (2024),92,62,Sam ClaflinPatrick McKee; Antonia ThomasKarina; Caréll Vincent RhodenJake McKee; Will DavisBagman; Adelle LeonceAnna; William HopeChief Isaacs; Steven CreeLiam McKee,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
The Soul Eater (2024),111,62,Virginie LedoyenÉlisabeth Guardiano; Paul HamyFranck De Rolan; Sandrine BonnaireDocteur Carole Marbas; Malik ZidiFabrice Gonnet; Emmanuel LanziLe motard; Christophe FavreHenri Maublanc; Jérémy MargalléM. Vasseur,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
Pleasure (2021),108,62,Sofia KappelBella Cherry; Zelda MorrisonJoy; Tee ReelMike; Evelyn ClaireAva; Chris CockBear; Dana DeArmondAshley; Kendra SpadeKimberly,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
